id,source,subject,topic,difficulty,question,answer,explanation,learning_objectives,tags,timestamp,rating,views
ka_0,khan_academy,math,calculus,beginner,Find the derivative of f(x) = 2x^2,f'(x) = 8x^1,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand calculus', 'Apply concepts', 'Problem solving']","['math', 'calculus', 'beginner']",2024-12-05 13:35:08.629089,4.6,9035
ka_1,khan_academy,math,statistics,advanced,Find the derivative of f(x) = 1x^2,f'(x) = 2x^1,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['math', 'statistics', 'advanced']",2025-03-03 13:35:08.629116,4.4,9295
ka_2,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['science', 'statistics', 'advanced']",2025-04-01 13:35:08.629126,4.4,206
ka_3,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves political systems.,Understanding this requires examining its key components and historical context.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['science', 'statistics', 'advanced']",2025-06-27 13:35:08.629135,3.7,5614
ka_4,khan_academy,math,statistics,beginner,Find the derivative of f(x) = 1x^3,f'(x) = 12x^2,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['math', 'statistics', 'beginner']",2025-10-25 13:35:08.629144,4.6,8885
ka_5,khan_academy,math,algebra,intermediate,Solve for x: 9x + 5 = 46,x = 5.0,"To solve this equation, isolate x by subtracting the constant term and dividing by the coefficient.","['Understand algebra', 'Apply concepts', 'Problem solving']","['math', 'algebra', 'intermediate']",2025-01-25 13:35:08.629155,3.8,1239
ka_6,khan_academy,math,geometry,advanced,What is the area of a triangle with length of 8?,The area is 61 square units.,"The area formula depends on the shape. For rectangles, it's length × width.","['Understand geometry', 'Apply concepts', 'Problem solving']","['math', 'geometry', 'advanced']",2025-05-06 13:35:08.629164,3.9,6077
ka_7,khan_academy,science,general,intermediate,Explain the concept of democracy.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'intermediate']",2024-12-08 13:35:08.629171,3.9,1269
ka_8,khan_academy,science,general,advanced,Explain the concept of gravity.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2025-03-25 13:35:08.629177,4.1,9225
ka_9,khan_academy,science,general,advanced,Explain the concept of democracy.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2025-07-22 13:35:08.629183,4.7,5268
ka_10,khan_academy,arts-humanities,general,intermediate,Explain the concept of photosynthesis.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['arts-humanities', 'geometry', 'intermediate']",2025-01-30 13:35:08.629188,4.8,5255
ka_11,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves cultural movements.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2024-12-22 13:35:08.629194,4.2,4439
ka_12,khan_academy,science,general,beginner,Explain the concept of democracy.,This concept involves cultural movements.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'beginner']",2025-01-22 13:35:08.629199,4.1,3693
ka_13,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2025-10-23 13:35:08.629204,4.8,2604
ka_14,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2025-05-03 13:35:08.629209,4.1,7768
ka_15,khan_academy,computing,programming,advanced,What is the output of this Python code: x = 2; y = 9; print(x + y)?,The output is 10.,The code adds two numbers and prints the result.,"['Understand programming', 'Apply concepts', 'Problem solving']","['computing', 'programming', 'advanced']",2024-12-23 13:35:08.629218,4.0,4908
ka_16,khan_academy,arts-humanities,general,beginner,Explain the concept of renaissance.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand programming', 'Apply concepts', 'Problem solving']","['arts-humanities', 'programming', 'beginner']",2025-07-05 13:35:08.629223,5.0,3027
ka_17,khan_academy,math,calculus,advanced,Find the derivative of f(x) = 5x^4,f'(x) = 4x^2,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand calculus', 'Apply concepts', 'Problem solving']","['math', 'calculus', 'advanced']",2025-08-26 13:35:08.629231,4.3,8789
ka_18,khan_academy,math,calculus,advanced,Find the derivative of f(x) = 4x^2,f'(x) = 3x^2,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand calculus', 'Apply concepts', 'Problem solving']","['math', 'calculus', 'advanced']",2025-07-17 13:35:08.629239,3.6,9395
ka_19,khan_academy,math,statistics,beginner,Find the derivative of f(x) = 1x^4,f'(x) = 4x^3,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['math', 'statistics', 'beginner']",2025-03-18 13:35:08.629246,4.9,2805
ka_20,khan_academy,computing,web-development,advanced,What data structure would be best for implementing a queue?,heap,The choice depends on the required operations and efficiency.,"['Understand web-development', 'Apply concepts', 'Problem solving']","['computing', 'web-development', 'advanced']",2024-11-28 13:35:08.629252,3.8,5207
ka_21,khan_academy,arts-humanities,general,advanced,Explain the concept of democracy.,This concept involves cultural movements.,Understanding this requires examining its key components and historical context.,"['Understand web-development', 'Apply concepts', 'Problem solving']","['arts-humanities', 'web-development', 'advanced']",2025-02-25 13:35:08.629258,4.2,4161
ka_22,khan_academy,science,general,beginner,Explain the concept of democracy.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand web-development', 'Apply concepts', 'Problem solving']","['science', 'web-development', 'beginner']",2025-01-19 13:35:08.629263,4.3,9741
ka_23,khan_academy,science,general,beginner,Explain the concept of photosynthesis.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand web-development', 'Apply concepts', 'Problem solving']","['science', 'web-development', 'beginner']",2025-07-22 13:35:08.629268,3.6,614
ka_24,khan_academy,computing,algorithms,beginner,What is the time complexity of binary search?,O(n log n),Time complexity describes how the runtime grows with input size.,"['Understand algorithms', 'Apply concepts', 'Problem solving']","['computing', 'algorithms', 'beginner']",2025-03-13 13:35:08.629274,3.8,2267
ka_25,khan_academy,arts-humanities,general,beginner,Explain the concept of renaissance.,This concept involves cultural movements.,Understanding this requires examining its key components and historical context.,"['Understand algorithms', 'Apply concepts', 'Problem solving']","['arts-humanities', 'algorithms', 'beginner']",2025-08-11 13:35:08.629279,3.6,7162
ka_26,khan_academy,computing,web-development,intermediate,What data structure would be best for implementing a stack?,heap,The choice depends on the required operations and efficiency.,"['Understand web-development', 'Apply concepts', 'Problem solving']","['computing', 'web-development', 'intermediate']",2025-10-20 13:35:08.629285,4.5,1712
ka_27,khan_academy,math,calculus,intermediate,Find the derivative of f(x) = 1x^2,f'(x) = 4x^3,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand calculus', 'Apply concepts', 'Problem solving']","['math', 'calculus', 'intermediate']",2025-04-01 13:35:08.629292,3.7,3106
ka_28,khan_academy,computing,algorithms,intermediate,What is the time complexity of bubble sort?,O(log n),Time complexity describes how the runtime grows with input size.,"['Understand algorithms', 'Apply concepts', 'Problem solving']","['computing', 'algorithms', 'intermediate']",2025-02-08 13:35:08.629299,3.6,8956
